aba: 阿爸
achang: 阿昌
ada: 阿大
adi: 阿弟
adou: 阿斗
afei: 阿飞
afu: 阿附
age: 阿哥
ajiao: 阿胶
ajie: 阿姐
ala: 阿拉
ali: 阿里
ama: 阿妈
aman: 阿曼
amei: 阿妹
aniang: 阿娘
apo: 阿婆
ayi: 阿姨
ayu: 阿谀
aiji: 埃及
aibian: 挨边、癌变
aici: 挨次
aida: 挨打
aidao: 挨到、哀悼
aie: 挨饿
aige: 挨个
aiguo: 挨过、爱国
aijian: 挨肩
aijin: 挨近
aima: 挨骂
aizheng: 挨整、癌症
aizhao: 挨着
aizou: 挨揍
aiya: 哎呀
aiyo: 哎哟
aibing: 癌病
airan: 蔼然
aicao: 艾草
aihu: 艾虎、爱护
aipeng: 艾蓬
airong: 艾绒
aihao: 艾蒿、爱好
aikou: 碍口、隘口
ainan: 碍难
aishi: 碍事
aiyan: 碍眼
aiyu: 碍于
aicheng: 爱称
aidai: 爱戴
aide: 爱得
aifu: 爱抚
aihe: 爱河
ailian: 爱怜、爱恋
aimei: 爱美、暧昧
aimin: 爱民
aimu: 爱慕、爱幕
ainv: 爱女
aiqi: 爱妻
aiqing: 爱情
airen: 爱人
aishuo: 爱说
aiting: 爱听
aixi: 爱惜
aixiao: 爱小、矮小
aixin: 爱心
aizeng: 爱憎
aizhong: 爱重
aizi: 爱子
anma: 鞍马
anzi: 鞍子、暗自、案子
anji: 氨基、暗疾、暗记
anqi: 氨气、按期、暗器、安祺
anshui: 氨水、安睡
ancha: 安插、按插
anda: 安达
ande: 安得
anding: 安定
andun: 安顿
anfang: 安放、暗房
anfen: 安分
anfu: 安抚
anhao: 安好、暗号
anhui: 安徽
anjia: 安家
anjing: 安静
anju: 安居
ankang: 安康
anle: 安乐、按了
anman: 安曼
anmian: 安眠
anmin: 安民
anning: 安宁
anpai: 安排、按排
anpei: 安培
anqing: 安庆、案情
anquan: 安全
anran: 安然、岸然、黯然
anshang: 安上、暗伤、岸上
anshe: 安设
anshen: 安身、安神
ansheng: 安生
anshi: 安适、按时、暗示、暗事、暗室
antai: 安泰
antian: 安恬
antuo: 安妥
anwei: 安危、安慰
anwen: 安稳
anxi: 安息、暗喜
anxian: 安闲、暗线
anxiang: 安祥、安详、暗箱、暗想
anxie: 安歇
anxin: 安心
anyi: 安逸
anying: 安营
anzang: 安葬
anzhen: 安枕
anzhi: 安置、按置
anzhuang: 安装
anmi: 安谧
anpou: 安瓿
anci: 按此
andong: 按动
anjian: 按键、案件、暗箭
anjie: 按揭
anli: 按理、按例、暗里、案例
anliang: 按量
anling: 按铃
anmai: 按脉
anmo: 按摩
annian: 按年、暗念
anniu: 按钮
anri: 按日
anshuo: 按说
anxia: 按下、暗匣、暗下
anya: 按压
anyu: 按语、暗语、暗喻、案语
anyue: 按月
anzhao: 按照、按着
anzhu: 按住
anan: 暗暗
anbao: 暗堡
ancang: 暗舱、暗藏
anchu: 暗处
andan: 暗淡
andao: 暗道
anhai: 暗害
anhan: 暗含
anhe: 暗盒
anhei: 暗黑
anhua: 暗花、氨化
anjiao: 暗礁
anliu: 暗流
anmei: 暗昧
anmen: 暗门、俺们
anpan: 暗盘
anruo: 暗弱
ansha: 暗杀
anshao: 暗哨
ansuan: 暗算
antan: 暗探
anxiao: 暗销
anzhong: 暗中
an*: 暗*
anbian: 岸边
anbiao: 岸标
anban: 案板
anfa: 案发
anfan: 案犯
anjuan: 案卷
antou: 案头
hangzang: 肮脏
angang: 昂昂、鞍钢
angfen: 昂奋
anggui: 昂贵
angran: 昂然、盎然
angshou: 昂首
angyang: 昂扬
angsi: 盎司
aobao: 敖包
aodao: 熬到
aoguo: 熬过
aojian: 熬煎
aomo: 熬磨
aoxin: 熬心
aoyao: 熬药
aoye: 熬夜
aozhou: 熬粥、澳洲
aoxiang: 翱翔
aodi: 奥迪
aomi: 奥秘
aomiao: 奥妙、奥秒
aotuo: 奥拓
aokang: 澳抗
aomao: 澳毛
aomen: 澳门
bajiao: 芭蕉、八角
balei: 芭蕾
banv: 吧女
batai: 吧台、靶台
bata: 吧嗒、把他、把它、把她
babai: 八百
bacheng: 八成
bafang: 八方
bage: 八哥
bagu: 八股
bakai: 八开、扒开
balu: 八路
baqiang: 八强
bashi: 八十、巴士、罢市
bawan: 八万、把玩
bayi: 八一
bayue: 八月
bagua: 八卦
bahen: 疤痕
bala: 疤瘌
baba: 巴巴、爸爸
badou: 巴豆
bahe: 巴赫
bajie: 巴结、八届
baku: 巴库
bali: 巴黎、笆篱
balin: 巴林
basong: 巴松、罢讼
bawang: 巴望、霸王
bawu: 巴乌
baxi: 巴西、把戏
bazhang: 巴掌
bashe: 跋涉
bahu: 跋扈
babiao: 靶标
bachang: 靶场
baxin: 靶心
bazi: 靶子、把子
babing: 把柄
bachi: 把持
baguan: 把关、罢官
bahao: 把好
bajia: 把家
bajiu: 把酒
bamai: 把脉
bani: 把你
bashou: 把手、把守、罢手、扒手
batou: 把头
bawo: 把我、把握
baji: 坝基
batian: 坝田
babi: 罢笔
bagong: 罢工
bake: 罢课
bale: 罢了
bamian: 罢免
basai: 罢赛
basu: 罢诉
baxiu: 罢休
bayan: 罢演
bazhan: 罢战、霸占
bazhi: 罢职
baibai: 白白、拜拜
baiban: 白班、白版、百般
baibu: 白布、白醭、摆布、百部
baicai: 白菜
baicha: 白茶
baicheng: 白城
baichi: 白吃、白痴
baicu: 白醋
baida: 白搭
baidai: 白带
baidao: 白道、拜倒
baidi: 白地
baie: 白鹅、白垩
baifa: 白发
baifan: 白矾
baifang: 白方、摆放、拜访
baifei: 白费
baige: 白鸽
baigong: 白宫
baigu: 白骨
baiguang: 白光
baiguo: 白果
baihe: 白喝、白鹤、拜贺
baihou: 白喉
baihua: 白花、白化、白话、白桦
baihui: 白灰、拜会
baiji: 白鸡、败绩、百计
baijiang: 白讲、败将
baijin: 白金
baijing: 白净
baijiu: 白酒
baikan: 白看
bailiang: 白亮
bailin: 白磷、柏林
bailing: 白领
bailu: 白露、白鹭、败露
baima: 白马
baimang: 白忙
baimao: 白猫、白茅
baimian: 白面
baina: 白拿
bainen: 白嫩
baipao: 白跑
baipiao: 白票
baiqi: 白漆、白旗
baiqu: 白区
baire: 白热
bairen: 白人、白刃、拜认
bairi: 白日、百日
bairou: 白肉
bairun: 白润
baise: 白色
baisheng: 白生
baishi: 白事、摆式、败事、拜师
baishu: 白薯、白术、柏树
baishui: 白水
baita: 白塔
baitang: 白糖、拜堂
baiti: 白体
baitian: 白天
baitiao: 白条
baitong: 白铜
baitou: 白头
baituo: 白脱、摆脱、拜托
baiwan: 白玩、百万
baiwu: 白雾
baixiong: 白熊
baixue: 白雪
baiyan: 白眼
baiyang: 白羊、白养、白杨
baiyao: 白药
baiyi: 白蚁
baiyin: 白银
baiyu: 白鱼、百余
baizhi: 白纸、白质、白芷
baizhong: 白种、摆钟
baizhou: 白昼、摆轴
baizi: 白子、白字、摆子、稗子
baizu: 白族
bailian: 白蔹
baixi: 白皙
baiyou: 白鼬、柏油、败由
baichu: 摆出
baidong: 摆动
baidu: 摆渡
baihao: 摆好
baijian: 摆件、拜见
baikai: 摆开
baikuo: 摆阔
bailun: 摆轮
baiman: 摆满
bainong: 摆弄
baiping: 摆平
baishang: 摆上
baishe: 摆设
baishou: 摆手、拜寿
baizai: 摆在
baizheng: 摆正
baizhao: 摆着、败招
baibei: 败北、百倍
baibi: 败笔
baibing: 败兵
baihuai: 败坏
baijia: 败家、百家
baiju: 败局
bailei: 败类
bailuo: 败落
baisu: 败诉
baitui: 败退
baixing: 败兴、百姓
baixu: 败絮
baizhang: 败仗
baizhen: 败阵
baifo: 拜佛
baifu: 拜服
baike: 拜客、百科
baili: 拜礼、百里
bainian: 拜年、百年
baisao: 拜扫
baiwang: 拜望
baixie: 拜谢
baiye: 拜谒
banban: 斑斑、办班
banbo: 斑驳
bandian: 斑点、半点
banhen: 斑痕
banma: 斑马
bantu: 斑秃、版图
banwen: 斑纹
banzhu: 斑竹、班主、扳住
banlan: 斑斓
banjiu: 斑鸠、半旧
banmao: 斑蝥
banchang: 班长、办厂
banche: 班车、板车
banci: 班次
banfang: 班房
banji: 班机、班吉、班级、扳机、半级
banke: 班科
banlun: 班轮
banpei: 班配、般配
banqi: 班期、扳起
banshang: 班上、搬上、半晌
bantou: 班头、扳头
banwu: 班务
banzi: 班子、板子
banzu: 班组
banchu: 搬出
bandao: 搬到、扳道、半岛、半道、办到
bandiao: 搬掉
banjia: 搬家、半价
bankai: 搬开
banlai: 搬来
banli: 搬离、办理
bannong: 搬弄
banqian: 搬迁
banyun: 搬运、拌匀
banzou: 搬走、伴奏
banben: 扳本、版本
banhui: 扳回
banle: 扳了、办了
banshou: 扳手
banzhao: 扳着、板着
banzeng: 扳罾
banbao: 板报、办报
bancai: 板材
banchuang: 板床
bandeng: 板凳
banfu: 板斧
banhu: 板胡
banjie: 板结、半截
bankuai: 板块
banlian: 板脸
banqiu: 板球、半球
banshi: 板式、版式、半时、半世、办事
banshua: 板刷
banya: 板鸭
banzhuo: 板桌
bancuo: 板锉
banhua: 版画
banmian: 版面
banquan: 版权
banfei: 拌肥
banhe: 拌和
banshui: 拌水、版税
banzhong: 拌种
banzui: 拌嘴
banbai: 半百、斑白
bange: 半个
banjing: 半径
banlu: 半路
bannian: 半年
banpai: 半拍
banpiao: 半票
banpo: 半坡
bansheng: 半生
banshu: 半数、板书
bansi: 半死
bantian: 半天
banye: 半夜
banyin: 半音
banyuan: 半圆
banyue: 半月
banzai: 半载
banan: 办案
bancheng: 办成
bande: 办得
banfa: 办法、颁发
bangong: 办公
banhao: 办好
bantuo: 办妥
banwan: 办完
banxue: 办学
banzhi: 办置
bangzi: 梆子、膀子、棒子
bangshou: 榜首、帮手
bangtie: 榜贴
bangwei: 榜尾
bangwen: 榜文
bangyang: 榜样
bangguang: 膀胱
bangbing: 棒冰
bangda: 棒打
banghe: 棒喝
bangqiu: 棒球
bangzhen: 棒针
bangchui: 棒槌
bangbo: 磅礴
bangbu: 蚌埠
baogu: 苞谷
baomi: 苞米、保密
baoyi: 苞衣、胞衣、报以、褒义
baodi: 胞弟、宝地
baojie: 胞姐、报捷、报界
baomei: 胞妹
baoxiong: 胞兄
baozi: 胞子、豹子、包子、孢子
bode: 剥得、博得
bodiao: 剥掉
boduo: 剥夺
boguang: 剥光
boli: 剥离、薄礼、薄利、玻璃
boluo: 剥落、菠萝
bopi: 剥皮
boqu: 剥去、博取
boshi: 剥蚀、博识、博士
boxia: 剥下、播下
boxue: 剥削、博学
boban: 薄板
bobing: 薄饼
bobu: 薄布
bochan: 薄产
bocui: 薄脆
bojiu: 薄酒
bomian: 薄面
boming: 薄命
bomo: 薄膜
boqing: 薄情
boruo: 薄弱
boyi: 薄衣
bozang: 薄葬
bozhi: 薄纸
baobao: 宝宝
baobei: 宝贝
baocang: 宝藏、包藏
baodao: 宝刀、宝岛、报到、报道、报导
baogang: 宝钢
baogui: 宝贵
baohuo: 宝货
baojian: 宝剑、保健
baoku: 宝库、暴库
baolan: 宝蓝、包揽
baoma: 宝马
baosha: 宝刹
baoshan: 宝山
baoshi: 宝石、报失、报时、暴尸
baota: 宝塔
baowan: 宝玩
baoyu: 宝玉、暴雨、保育
baozuo: 宝座
baobing: 抱病、暴病
baoding: 抱定、保定
baofu: 抱负、报复、包袱
baohan: 抱憾、包含、包涵、饱含
baohen: 抱恨
baojin: 抱进、保金
baole: 抱了、报了
baoqi: 抱起
baoqian: 抱歉
baoqu: 抱屈
baoquan: 抱拳、保全
baoyang: 抱养、褒扬、保养
baoyuan: 抱怨
baozhu: 抱住、宝珠、保住、爆竹
baozhao: 抱着
baoan: 报案、保安
baobiao: 报表、保镖
baochang: 报偿、饱尝
baocheng: 报呈
baochou: 报酬、报仇
baochu: 报出
baoda: 报答
baodan: 报单
baoduan: 报端
baoen: 报恩
baofei: 报废
baogao: 报告
baoguan: 报关、报馆、保管
baoguo: 报国、包裹
baojia: 报价、保价
baojing: 报警
baokan: 报刊
baokao: 报考
baoming: 报名
baomu: 报幕、保姆
baopi: 报批
baoqing: 报请
baoren: 报人
baosang: 报丧
baoshang: 报上、褒赏
baoshe: 报社
baoshen: 报审、包身
baoshu: 报数
baosong: 报送
baoting: 报亭
baotong: 报童
baotou: 报头、包头
baowu: 报务
baoxi: 报喜
baoxiang: 报箱
baoxiao: 报销、报晓、报效、包销
baoxin: 报信
baoxiu: 报修、包修、保修
baoye: 报业
baoying: 报应
baozhang: 报章、报帐、暴涨、保障
baozhi: 报纸、保值、保质
baodie: 暴跌
baodong: 暴动
baofa: 暴发、爆发
baofeng: 暴风
baoguang: 暴光
baohong: 暴洪
baojun: 暴君
baoli: 暴利、暴力、暴戾
baolie: 暴烈、爆裂
baolu: 暴露
baolv: 暴率
baoluan: 暴乱
baomin: 暴民
baonu: 暴怒
baonue: 暴虐
baoshai: 暴晒
baoshou: 暴收、保守
baotiao: 暴跳
baotu: 暴突、暴徒
baoxing: 暴行
baozao: 暴躁
baozheng: 暴政、保证
baomao: 豹猫
beinei: 杯内
beisai: 杯赛
beizi: 杯子、被子
beiji: 碑记、北极、背脊
beike: 碑刻、贝壳、备课
beilin: 碑林
beiming: 碑铭
beitie: 碑帖
beituo: 碑拓
beiwen: 碑文
beizhi: 碑志、卑职
