fanyaofanyong.com 凡要凡庸
anjianfa.com 氨碱法
anguanli.com 按惯例
anguiding.com 按规定
anjianshi.com 按键式
anniushi.com 按钮式
baiduodun.com 百多吨
banzuchang.com 班组长
banbucheng.com 办不成
bangongfei.com 办公费
banfengjian.com 半封建
banwenmang.com 半文盲
baoganzhi.com 包干制
baozhuangfei.com 包装费
baozinang.com 孢子囊
baochizhao.com 保持着
baoshoudang.com 保守党
beiboxue.com 被剥削
beichengwei.com 被称为
beichengzuo.com 被称作
beichengshu.com 被乘数
beichushu.com 被除数
beijiashu.com 被加数
beijianshu.com 被减数
beijiechi.com 被劫持
beipingwei.com 被评为
beiyapo.com 被压迫
beiyuwei.com 被誉为
benbumen.com 本部门
bendanwei.com 本单位
benzhuanye.com 本专业
bimianle.com 避免了
bianfengxian.com 边锋线
bianxianqiu.com 边线球
bianxishi.com 便携式
biaozhizhao.com 标志着
biaojuequan.com 表决权
biaomianhua.com 表面化
biaomianxing.com 表面性
biaotuceng.com 表土层
biaoxianchu.com 表现出
bingyifa.com 兵役法
bingxianan.com 丙酰胺
bingbuneng.com 并不能
bingbushi.com 并不是
bingyuanjun.com 病原菌
bogangban.com 薄钢板
buchangfei.com 补偿费
butiefei.com 补贴费
buzhufei.com 补助费
buhuoliang.com 捕获量
bubiyin.com 不必因
buchengzhi.com 不称职
budiyu.com 不低于
bufada.com 不发达
buguoguan.com 不过关
bujitian.com 不几天
bujinran.com 不尽然
bujingji.com 不经济
bujiuqian.com 不久前
buliyu.com 不利于
bunengbu.com 不能不
bupingdeng.com 不平等
bupingheng.com 不平衡
burongxu.com 不容许
bushaoren.com 不少人
bushengju.com 不胜举
bushiying.com 不适应
butongyu.com 不同于
buxiangcheng.com 不相称
buxiangrong.com 不相容
buyayu.com 不亚于
buyanwu.com 不延误
buchangji.com 部长级
bujiguan.com 部机关
cailiaofei.com 材料费
canmouchang.com 参谋长
cezhongdian.com 侧重点
cezhongyu.com 侧重于
celvexing.com 策略性
chazifa.com 查字法
chanchulv.com 产出率
chanliangqu.com 产粮区
chanxiaoliang.com 产销量
chanyouguo.com 产油国
changchangde.com 长长的
changjuli.com 长距离
changqihua.com 长期化
changqixing.com 长期性
changshiqi.com 长时期
changyizhi.com 长一智
changzhujiao.com 唱主角
chaobiaozhun.com 超标准
chaodaxing.com 超大型
chaojieji.com 超阶级
chaowaicha.com 超外差
chaoxiaofei.com 超消费
chaoxiaoxing.com 超小型
chechuanfei.com 车船费
chelvfei.com 车旅费
chendianfa.com 沉淀法
chenzuiyu.com 沉醉于
chengdeshang.com 称得上
chenghuolv.com 成活率
chengpinlv.com 成品率
chengwenti.com 成问题
chengyuanguo.com 成员国
chengzhengbi.com 成正比
chengxianchu.com 呈现出
chengbanren.com 承办人
chengbaozhe.com 承包者
chengyashui.com 承压水
chixuxing.com 持续性
chimeibing.com 赤霉病
chitiekuang.com 赤铁矿
chuchazi.com 出岔子
chukouguo.com 出口国
chukouliang.com 出口量
chuluanzi.com 出乱子
chumiaolv.com 出苗率
chushenglv.com 出生率
chuxianzai.com 出现在
chuziyu.com 出自于
chubude.com 初步的
chujiagong.com 初加工
chudianliang.com 储电量
chuwashen.com 楚瓦什
chuandongbi.com 传动比
chuanranxing.com 传染性
chuanbinglian.com 串并联
chuanghuie.com 创汇额
chuanglishui.com 创利税
chuangzaochu.com 创造出
chuangzaoxue.com 创造学
chunxiaoshu.com 纯小数
chunzhongwen.com 纯中文
cizhiwai.com 此之外
cilvsuan.com 次氯酸
cijixing.com 刺激性
cuzhifang.com 粗脂肪
cujinpai.com 促进派
cushengchan.com 促生产
cunhuolv.com 存活率
cunkuane.com 存款额
cunzaizhao.com 存在着
cunzhuqu.com 存贮区
dahuihuan.com 大回环
dashengchu.com 大牲畜
datishang.com 大体上
daibiaohui.com 代表会
daishuhe.com 代数和
daishushi.com 代数式
danbanji.com 单板机
dankelong.com 单克隆
danxiangjiang.com 单项奖
danzeren.com 担责任
danxianzai.com 但现在
danhuaji.com 弹花机
danhuangcheng.com 弹簧秤
danhuanggang.com 弹簧钢
danxingti.com 弹性体
dangquanzhe.com 当权者
dangneiwai.com 党内外
dangtuanyuan.com 党团员
daocilv.com 导磁率
daodagang.com 到达港
daodazhan.com 到达站
daotoulai.com 到头来
dengbili.com 等比例
dengjizhi.com 等级制
dengjiage.com 等价格
dengshimian.com 等势面
dengyuling.com 等于零
dengzhixian.com 等值线
dicengci.com 低层次
dichantian.com 低产田
dishouru.com 低收入
dixiaohao.com 低消耗
dixiaolv.com 低效率
diduidi.com 地对地
difangshui.com 地方税
difangxing.com 地方性
digunqiu.com 地滚球
dikuangbu.com 地矿部
dimianshui.com 地面水
diquxing.com 地区性
dixiahuo.com 地下火
dixiajing.com 地下茎
dixianji.com 地县级
disanming.com 第三名
dianwudeng.com 碘钨灯
dianchuanji.com 电传机
diangonglv.com 电功率
dianrefa.com 电热法
dianweicha.com 电位差
dianxungao.com 电讯稿
dianziliu.com 电子流
diaojieqi.com 调节器
diaojieshui.com 调节税
dingbuzhu.com 顶不住
dingdezhu.com 顶得住
dingshitu.com 顶视图
dinghualun.com 定滑轮
dongbeibu.com 东北部
dongdaoguo.com 东道国
dongnanbu.com 东南部
dongliangju.com 动量矩
donglunzhou.com 动轮轴
dongmaigong.com 动脉弓
